微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数
平安盐源,08月17日 08:47,//weibo.com/5135173028/M1pNl0JhA?refer_flag=1001030103_,【#40度高温山火蔓延民警逆火而上#】8月12日晚，辖区一山丘突发大火，@宣州公安 水东派出所火速赶往现场，现场火势猛烈，浓烟四起，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，确保安全，一边不畏猛烈火势，勇往直前，最终将大火扑灭。#牺牲消防员万惠文的遗物看哭了#O网页链接 L中国警方在线的微博视频 收起d,blue,0,4,3
平凉公安,08月17日 08:38,//weibo.com/2608134103/M1pJE3Dy3?refer_flag=1001030103_,【#40度高温山火蔓延民警逆火而上#】8月12日晚，辖区一山丘突发大火，@宣州公安 水东派出所火速赶往现场，现场火势猛烈，浓烟四起，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，确保安全，一边不畏猛烈火势，勇往直前，最终将大火扑灭。L中国警方在线的微博视频 ?,blue,0,0,0
解惑易经,08月17日 08:32,//weibo.com/7526336122/M1pH9rBUe?refer_flag=1001030103_,我发表了头条文章:《中华文明起源 二十二 山火贲 坤地正道上行》 O中华文明起源 二十二 山火贲 坤地正道上行 ?,yellow,0,0,0
济南市天桥区人民检察,08月17日 08:31,//weibo.com/5539558550/M1pGxoX31?refer_flag=1001030103_,【#40度高温山火蔓延民警逆火而上#】8月12日晚，辖区一山丘突发大火，@宣州公安 水东派出所火速赶往现场，现场火势猛烈，浓烟四起，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，确保安全，一边不畏猛烈火势，勇往直前，最终将大火扑灭。L中国警方在线的微博视频 ?,blue,17,12,21
一个扫地人,08月17日 09:25,//weibo.com/6195167201/M1q2yuRmQ?refer_flag=1001030103_,看点-零上1度      高温高湿难重庆      煮山煮水伤湖北         热呀热。         旱呀旱。         国内热，国外热。         欧洲热，美洲热。         重庆最低温34度，最高温43度。室内只能开空调，室外想办法下水。重庆热不是最热，最热在湖北竹山，44.6度。        听说过吗？        湖北的山不好过，湖北的水更不好过。长江武汉段已是历史最低，江滩露出千百年前的底——乌黑干裂。        被煎熬了一个来月的欧洲遇500年来最大的干旱，烧有记录以来最大的山火。        美洲呢？        难过的在后边，后边越来越难过。        发展与生存二选一。        生存是真道理！ 收起d,yellow,0,2,3
Charliiie_,08月17日 09:04,//weibo.com/5954993028/M1pUfe11y?refer_flag=1001030103_,重庆有多热..一早起来.对面山火了 ?,yellow,0,0,0
阿雾特可奈,08月17日 10:00,//weibo.com/6406620567/M1qgPvT2O?refer_flag=1001030103_,记得年初的时候“专家”说因为澳大利亚山火和汤加火山灰，今年会不热，还说是“无夏之年”。砖家给我出来走两步来重庆走两步！ ?,yellow,0,0,0
小尹有点困ii,08月17日 11:42,//weibo.com/5698673392/M1qWk8Bbo?refer_flag=1001030103_,山东改名叫山火算了，要烤熟了 ?,yellow,0,0,1
香港衛視HKS,08月17日 11:36,//weibo.com/2712601544/M1qTRCRcn?refer_flag=1001030103_,【#西班牙一火车遇山火乘客跳窗逃生# 20人受伤】8月16日，据英国《卫报》网站报道，西班牙东北部山火包围一列火车，乘客跳窗逃生造成20人受伤。报道称，事发时列车在山火中停止运行，列车司机认为山火危险准备返程。然而这造成车上乘客恐慌，一些乘客砸窗逃生，部分乘客跳窗后直接掉入山火中。20名伤者中，3人伤势较重。其他逃出列车的乘客等待救援，随后当地动用直升机将伤者送医治疗。L世面的微博视频 收起d,blue,2,1,0
朱好看,08月17日 11:34,//weibo.com/2519845603/M1qT9faKK?refer_flag=1001030103_,最近看到的最好看的一部电影?：《最大的小小农场》理想主义者的道路注定充满坎坷。为了爱狗有个可以肆意生长的地方，为了有新鲜食材尊重烹饪，约翰和茉莉成为了农场主。但他们对农业一无所知，找了一个农业专家指导他们。没过多久专家死了，一连串的问题也来了，狡狼总是来咬死鸡，母猪发烧生命危在旦夕，水果70%喂了鸟类，蜗牛爬满了植物的茎叶，地鼠成灾，干旱、大风，山火等等。他们用了8年的时间，才将农场的经营驱向一个平衡的状态，实现了他们的目标：让农场和自然和谐共处。选择了少有人走的路，就要面对一连串的不曾遇到过的难题，就像我们的生活也是同样如此。 收起d,yellow,0,0,4
新京报我们视频,08月17日 11:32,//weibo.com/6124642021/M1qSlneEe?refer_flag=1001030103_,【#西班牙一火车遇山火乘客跳窗逃生# 20人受伤】8月16日，据英国《卫报》网站报道，西班牙东北部山火包围一列火车，乘客跳窗逃生造成20人受伤。报道称，事发时列车在山火中停止运行，列车司机认为山火危险准备返程。然而这造成车上乘客恐慌，一些乘客砸窗逃生，部分乘客跳窗后直接掉入山火中。20名伤者中，3人伤势较重。其他逃出列车的乘客等待救援，随后当地动用直升机将伤者送医治疗。@世面 L世面的微博视频（编辑：王惜梦 制作：礼牧周 运营：王铭涓） 收起d,blue,0,0,2
贵港网警巡查执法,08月17日 11:25,//weibo.com/5572134691/M1qP6r7YQ?refer_flag=1001030103_,【#40度高温山火蔓延民警逆火而上#】8月12日晚，辖区一山丘突发大火，@宣州公安 水东派出所火速赶往现场，现场火势猛烈，浓烟四起，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，确保安全，一边不畏猛烈火势，勇往直前，最终将大火扑灭。#牺牲消防员没来得及吃最后一顿饭# L中国警方在线的微博视频 收起d,blue,7,6,15
太尉0,08月17日 11:24,//weibo.com/7773869349/M1qOLbPn1?refer_flag=1001030103_,炼化三高二十九天立秋以后，持续高温，但是天还是凉了。该穿长袖长裤了。今天做核酸换了长袖出发。长袖长裤也是速干排汗，但是比短袖短裤更能抵御风，低海拔的风也是风，海拔三千米以上的太白山罡风无影无形对人体的侵入无处不在，很多爬山的朋友都有过中招的光辉历史，严重者至今与太白山无缘。所以当初山上流传一句话，宁可热死，不能冻死。捂严实了，再走跑马梁。低海拔五百米的关中泾渭河流域，依旧要如此。铁甲树道场三清殿姚法义道长说铁甲树是祖师爷栽种的，三合宫瀑布的水有灵气，滋养这颗附有祖师爷一分神魂，三分精神的神树繁荣昌盛。吾道不孤，源远流长。老姚懂很多的，能把楼观台道家历史从周秦汉唐说到任法融时代。对一些道家动不动大兴土木做面子工程也是有看法的，这是我的总结，是概括，是提炼原话是：楼观台都是一个小小的观，小小的台，这帮子不懂事的瓜蛋子，你还敢叫宫，敢叫殿，我们家祖师爷不认。冲门口吐一口唾沫：呸……！冲三清殿一拱手：爷啊，祖师爷赶紧把这些货派雷公电母收了。一场酒话醉话真人真性情，何必去装饰。下来一些日子，我没事就去网上看看那里被雷劈了，那里被火烧了。美丽国山火起了，高卢鸡圣木院着火了我都会想起姚法义当初的话围观打酱油，疙僦吃个瓜起哄架秧子，看热闹不嫌事大看别人激情燃烧的岁月，难忘啊检讨一下自己，肉身带来的毛病真是与别人一样多，有些还比别人多啊。继续修行好了明天继续！? 收起d,yellow,0,0,0
世面,08月17日 11:10,//weibo.com/5336533996/M1qJc3OvA?refer_flag=1001030103_,【#西班牙一火车遇山火乘客跳窗逃生# 20人受伤】8月16日，据英国《卫报》网站报道，西班牙东北部山火包围一列火车，乘客跳窗逃生造成20人受伤。报道称，事发时列车在山火中停止运行，列车司机认为山火危险准备返程。然而这造成车上乘客恐慌，一些乘客砸窗逃生，部分乘客跳窗后直接掉入山火中。20名伤者中，3人伤势较重。其他逃出列车的乘客等待救援，随后当地动用直升机将伤者送医治疗。（编辑：王惜梦 制作：礼牧周 运营：王铭涓） L世面的微博视频 收起d,blue,3,1,10
喂别掉队小鬼,08月17日 12:46,//weibo.com/7036216167/M1rmduIAZ?refer_flag=1001030103_,最近真的绝病毒肆虐+冰川融化+三个太阳幻象+月亮变红日+欧洲热死成千人+山火国际局势也很紧张，美国在叙利亚偷石油+小日本还不消停还要排放核废水+中国外来物种水线虫入侵+江西干旱影响上百万人希望世界末日那天有人通知我，我还有私房钱没用 ?,yellow,0,0,4
aiwebo,08月17日 12:25,//weibo.com/5224614614/M1rdwsL50?refer_flag=1001030103_,昨天岚山放灯笼和京都山火我本来想看的，因为每年日本お盆休み，都会有这样的祈愿的活动。正好京都山火的五山之一在我家附近！可是昨天晚上下暴雨，错过了明年我一定要看到 Laiwebo的微博视频 ?,yellow,0,0,1
王德君,08月17日 12:07,//weibo.com/7483627784/M1r6vzi3O?refer_flag=1001030103_,瘦身骆驼广袤原始林熊熊山火烈存者残缺立其它沦为尘广厦千万间都是用来住片片连城乡到处滞楼盘商业之帝国时代急先锋资本积累后西方上股市京城之朝官地方父母官都为贪心累身陷度余年普通老百姓机遇暴发户无奈守不住与德不匹配广袤原始林熊熊山火烈存者残缺立其它沦为尘2022.8.17 2沈阳·塔湾 收起d,yellow,0,0,1
伤心苦瓜的爱恨情仇,08月17日 13:45,//weibo.com/7776809945/M1rK3utVu?refer_flag=1001030103_,现在只是觉得，这么热的天户外务工的好辛苦好辛苦。希望不会引发山火。实在是太热了，大家都要平平安安 ?,yellow,0,0,0
896汽车调频,08月17日 13:42,//weibo.com/2781027274/M1rIWqerD?refer_flag=1001030103_,【#40度高温突发山火民辅警逆火而上#】8月12日晚，安徽宣城一山丘突发大火，@宣州公安 水东派出所接报警后火速赶往现场。现场火势十分猛烈，加上当天气温较高，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，一边不畏猛烈火势，配合消防队员勇往直前，最终将大火扑灭。目前，具体失火原因还在进一步调查中。@铁骥视频 L铁骥视频的微博视频 收起d,blue,0,0,0
中国日报网,08月17日 13:10,//weibo.com/2127460165/M1rvJAx9f?refer_flag=1001030103_,【#西班牙一火车遇山火乘客跳窗逃生# 20人受伤】8月16日，据英国《卫报》网站报道，西班牙东北部山火包围一列火车，乘客跳窗逃生造成20人受伤。报道称，事发时列车在山火中停止运行，列车司机认为山火危险准备返程。然而这造成车上乘客恐慌，一些乘客砸窗逃生，部分乘客跳窗后直接掉入山火中。20名伤者中，3人伤势较重。其他逃出列车的乘客等待救援，随后当地动用直升机将伤者送医治疗。 L世面的微博视频 @世面 收起d,blue,1,0,2
广元机场公安,08月17日 14:48,//weibo.com/5240002892/M1s9NfxyR?refer_flag=1001030103_,【#40度高温山火蔓延民警逆火而上#】8月12日晚，辖区一山丘突发大火，@宣州公安 水东派出所火速赶往现场，现场火势猛烈，浓烟四起，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，确保安全，一边不畏猛烈火势，勇往直前，最终将大火扑灭。#牺牲消防员万惠文的遗物看哭了#L中国警方在线的微博视频 收起d,blue,3,7,4
乐山公安,08月17日 14:32,//weibo.com/5168914744/M1s3gkwJv?refer_flag=1001030103_,【#40度高温山火蔓延民警逆火而上#】8月12日晚，辖区一山丘突发大火，@宣州公安 水东派出所火速赶往现场，现场火势猛烈，浓烟四起，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，确保安全，一边不畏猛烈火势，勇往直前，最终将大火扑灭。#牺牲消防员万惠文的遗物看哭了#L中国警方在线的微博视频 收起d,blue,0,10,6
邦多利谷圈隔空喊话bot,08月17日 14:15,//weibo.com/7746130752/M1rWbyiwS?refer_flag=1001030103_,【投稿】李涛一下山火素不素靠谱团长啊喵1054 ?,yellow,0,6,7
绵阳市经开区分局,08月17日 14:07,//weibo.com/5451078921/M1rT9Bcxe?refer_flag=1001030103_,【#40度高温山火蔓延民警逆火而上#】8月12日晚，辖区一山丘突发大火，@宣州公安 水东派出所火速赶往现场，现场火势猛烈，浓烟四起，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，确保安全，一边不畏猛烈火势，勇往直前，最终将大火扑灭。#牺牲消防员万惠文的遗物看哭了#O网页链接 L中国警方在线的微博视频 收起d,blue,0,7,6
三台县公安局,08月17日 15:44,//weibo.com/1919126727/M1swkxUFE?refer_flag=1001030103_,【#40度高温山火蔓延民警逆火而上#】8月12日晚，辖区一山丘突发大火，@宣州公安 水东派出所火速赶往现场，现场火势猛烈，浓烟四起，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，确保安全，一边不畏猛烈火势，勇往直前，最终将大火扑灭。#牺牲消防员万惠文的遗物看哭了#O网页链接 L中国警方在线的微博视频 2绵阳·三台县 收起d,blue,0,3,2
猪饲料bot,08月17日 15:35,//weibo.com/1842535713/M1ssXoNTo?refer_flag=1001030103_,当当书城优惠码 8.15-8.3169-10，D53A VH300-80，DYWARK，P7KVNY，教辅200-50，BQFUCQ， NMJBY3，教辅100-20，P8QGTY，GEVXF4，教辅【社恐，不会说话？专业演员教你说话的艺术！】 在《易经》中有一个卦叫做“山火贲”，讲的是修饰的问题。语言的修饰不仅仅是内容上的有道理，情感上的深入人心。那么你说话的方法，声音的大小，音准度以及音调，都会直接影响到思想的传达。我相信大家也都喜欢那些说话“好听的人”！ L每天一堂演讲课的微博视频 收起d,yellow,0,0,0
平安南江,08月17日 15:12,//weibo.com/3904762344/M1sjxdBvZ?refer_flag=1001030103_,【#40度高温山火蔓延民警逆火而上#】8月12日晚，辖区一山丘突发大火，@宣州公安 水东派出所火速赶往现场，现场火势猛烈，浓烟四起，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，确保安全，一边不畏猛烈火势，勇往直前，最终将大火扑灭。#牺牲消防员万惠文的遗物看哭了#L中国警方在线的微博视频 收起d,blue,0,0,0
沙湾金盾,08月17日 15:06,//weibo.com/5219949016/M1shbwNCI?refer_flag=1001030103_,【#40度高温山火蔓延民警逆火而上#】8月12日晚，辖区一山丘突发大火，@宣州公安 水东派出所火速赶往现场，现场火势猛烈，浓烟四起，山林杂草丛生，山火极易蔓延。为尽快控制火情，派出所民警辅警一边疏散群众，确保安全，一边不畏猛烈火势，勇往直前，最终将大火扑灭。#牺牲消防员万惠文的遗物看哭了#L中国警方在线的微博视频 收起d,blue,0,0,0
视频梗,08月17日 16:56,//weibo.com/5481152167/M1sZPkULx?refer_flag=1001030103_,任老板哪吒造型，一面是山火，一面冰原，面面俱到！一任千面任嘉伦#任嘉伦# L视频梗的微博视频 ?,yellow,1,0,3
谦虚的水晶球球,08月17日 16:56,//weibo.com/3474920450/M1sZvAeqI?refer_flag=1001030103_,葡萄牙中部一场大型山火冒出的浓烟16日蔓延至400公里外的西班牙首都马德里，笼罩该市商业新区几栋地标性摩天大厦。马德里市民称闻到浓重烧焦味。欧洲今年太惨了 ?,yellow,0,0,0
菠萝蛋糕一级棒,08月17日 16:54,//weibo.com/7485313407/M1sYRp6pZ?refer_flag=1001030103_,梦到缅因州有特大地震和暴雨，山火 ?,yellow,0,0,2
每日经济新闻,08月17日 16:33,//weibo.com/1649173367/M1sQt0gmG?refer_flag=1001030103_,#葡萄牙山火浓烟笼罩西班牙摩天大厦##今年葡萄牙山火过火面积占该国领土近1%#【葡萄牙山火浓烟蔓延400公里 笼罩西班牙摩天大厦】】据新华社报道，葡萄牙中部一场大型山火冒出的浓烟16日蔓延至400公里外的西班牙首都马德里，笼罩该市商业新区几栋地标性摩天大厦。马德里市民称闻到浓重烧焦味。据路透社报道，葡萄牙埃什特雷拉山国家公园6日起火，过火面积迄今超过1.7万公顷。多座村庄居民被疏散。截至16日，仍有超过1100名消防员、13架消防飞行器在参与灭火。美国国家航空航天局卫星图像显示，浓烟从葡萄牙所在的伊比利亚半岛西部向东蔓延，飘向马德里上空，“四大厦商业区”的高楼也被裹挟其中。当地应急服务机构不得不向居民澄清，周边没有发生火灾。西班牙东部巴伦西亚地区同样遭遇山火。当地投入数以百计的消防员，夜以继日地灭火。英国《自然·地球科学》上月刊载的一篇研究报告指出，气候变化导致伊比利亚半岛部分地区遭遇1200年来最严重干旱。欧洲森林火灾信息系统数据显示，今年以来，葡萄牙山火过火面积约8.5万公顷，占该国领土近1%；西班牙山火过火面积已超27万公顷，而过去15年的均值为7万公顷。（新华社；艾塔） 收起d,blue,1,1,7
超大杯养乐多不加冰,08月17日 16:30,//weibo.com/6452879641/M1sPewwFC?refer_flag=1001030103_,欧美各国这几年各种各样的山火是不是也影响了全球的气候变化？ ?,yellow,0,0,0
快兰斯24小时财经直播2,08月17日 16:29,//weibo.com/6450367173/M1sOLvIrj?refer_flag=1001030103_,实时播报：【葡萄牙山火浓烟蔓延400公里 笼罩西班牙摩天大厦】葡萄牙中部一场大型山火冒出的浓烟16日蔓延至400公里外的西班牙首都马德里，笼罩该市商业新区几栋地标性摩天大厦。马德里市民称闻到浓重烧焦味。欧洲森林火灾信息系统数据显示，今年以来，葡萄牙山火过火面积约8.5万公顷，占该国领土近1%；西班牙山火过火面积已超27万公顷，而过去15年的均值为7万公顷。 收起d,yellow,4,0,0
财联社APP,08月17日 16:25,//weibo.com/2868676035/M1sN9D5eW?refer_flag=1001030103_,【葡萄牙山火浓烟蔓延400公里 笼罩西班牙摩天大厦】财联社8月17日电，葡萄牙中部一场大型山火冒出的浓烟16日蔓延至400公里外的西班牙首都马德里，笼罩该市商业新区几栋地标性摩天大厦。马德里市民称闻到浓重烧焦味。欧洲森林火灾信息系统数据显示，今年以来，葡萄牙山火过火面积约8.5万公顷，占该国领土近1%；西班牙山火过火面积已超27万公顷，而过去15年的均值为7万公顷。 收起d,blue,3,1,7
云财经,08月17日 16:23,//weibo.com/1680685707/M1sMpxk7l?refer_flag=1001030103_,实时快报：【#葡萄牙山火浓烟蔓延400公里 笼罩西班牙摩天大厦#】云财经讯，葡萄牙中部一场大型山火冒出的浓烟16日蔓延至400公里外的西班牙首都马德里，笼罩该市商业新区几栋地标性摩天大厦。马德里市民称闻到浓重烧焦味。 ?,blue,0,0,1
娃儿不读书不如养头居,08月17日 16:12,//weibo.com/2430248333/M1sHUDUGn?refer_flag=1001030103_,排市山火 2黄石 ?,yellow,0,0,1
-追逐月亮-,08月17日 16:11,//weibo.com/2765009323/M1sHmCOWD?refer_flag=1001030103_,“起初，没有人在意这一场灾难，这不过是一场山火、一次旱灾、一个物种的灭绝、一座城市的消失，直到这场灾难和每个人息息相关。” ?,yellow,0,0,0
上游新闻,08月17日 17:48,//weibo.com/1420157965/M1tkS1kXb?refer_flag=1001030103_,【重庆9区县最高气温打破当地历史纪录 因旱需生活救助30万人】8月17日，重庆市政府新闻办举行2022年全市高温抗旱工作专题新闻发布会，对今年全市高温抗旱工作的相关情况进行介绍。7月以来 平均降水量较常年偏少近6成7月以来，重庆市气温显著偏高、降水明显偏少，9个区县最高气温打破当地历史高温纪录，累计降雨较多年同期偏少6成，尤其是8月以来较多年同期偏少9成。重庆市应急管理局党委委员、政治部主任邹瑜介绍，7月1日至今，重庆天气主要呈现出“三个显著”特点∶一是平均气温显著偏高。全市平均气温为30.5℃，较常年显著偏高2.6℃，与2006年并列成为1961年以来最高。二是降水显著偏少。全市平均降水量为102.0毫米，较常年显著偏少近6成，为1961年以来同期第二少，仅次于1992年的98.8毫米。三是高温干旱强度显著偏强。35℃以上高温日数32.3天，为1961年以来同期第三多，仅次于2006年同期（33.9天），极端最高气温为44.5℃与2006年相同。根据监测，67.9％的土壤水分观测站耕作层已达中到重旱。受高温天气影响，目前已导致全市33个区县、585个乡镇（街道）、88.1万人受灾，因旱需生活救助30万人，其中饮水困难人口达到26.9万人（主要集中在高山乡镇和偏远地区）；8个区县66条河流断流，10个区县25座水库干涸；26个区县水利工程蓄水量低于70%，其中奉节、开州、彭水、武隆、城口、巫山、巫溪7个区县低于50%。“预计高温至少还将持续一周。”邹瑜表示，全市大部地区日最高气温将达38～42℃，局地可达43～45℃，预计全市平均高温累计日数可能超过38天，较常年同期偏多18天，超过有气象纪录以来同期最高值。发动90万人找水送水 解决群众饮水问题面对严峻的高温天气，全力做好抗旱工作至关重要。邹瑜介绍，目前市防汛抗旱指挥部正全力抓实统筹推进、每日研判、督导指导、送水保饮、高温防火、物资调拨“六项措施”，积极应对当前高温旱情。在送水保饮上，全市组织基层干部群众近90万人找水送水，群众饮水问题得到较好的保障。合川、荣昌、永川、大足、黔江、云阳等区县根据缺水情况，寻找水源、落实人员、备齐工具，通过人工送水、管道输水等方式，解决人畜饮水困难。在高温防火上，市森林防灭火指挥部发布森林火险红色预警，召开调度会议，进行专项巡查。市航空救援总队每日执行空中巡护，市、区两级应急救援队及林区林场守护人员每日开展地毯式隐患排查。在物资调拨上。全市先后出动救援队伍9.8万人次，救援装备、车辆27万台次，调拨大型抗旱储水设备180套，划拨抗旱资金1000万，区县饮水困难的问题基本得到解决。有作业时机将适时开展人工增雨作业在今后一段时间，重庆将如何做好包括抗旱在内的防灾减灾工作？邹瑜亦做出了解答。“保障人畜饮水，全力做好抗旱工作。”邹瑜说，市防汛抗旱指挥部将继续坚持日研判、日报告，动态掌握干旱情况，包括范围、人口及水源情况，精准组织缺水地区应急送水，确保不发生因旱亡人事件。“市级大型送水车始终保持临战状态，一旦区县有需求，立即开展应急送水。“邹瑜补充道。针对市民们普遍关注的人工增雨作业，邹瑜表示目前266个人工影响天气作业点、107门高炮、96台火箭和近600名作业人员已经进入临战状态，密切监测天气。“一旦有作业时机将适时开展人工增雨降温作业，缓解高温干旱。”全市将以不发生较大山火为底线，切实做好森林防火工作。管住火源不进山，严格设关守卡；管住农事、祭祀用火，加强巡护、见烟就查、见火就罚；尤其是重点防止老人、小孩等进山用火。此外，全市将以坚决防控重特大事故为核心目标，严格“三查三治”，扎实开展安全大检查、百日大整治专项行动。严查干部履职，严查部门执法，严查企业管理。O上游新闻 收起d,blue,0,0,4
Angiuiin,08月17日 19:39,//weibo.com/2367023242/M1u3OsjmJ?refer_flag=1001030103_,#涪陵山火#重庆这个高温我真的会谢 山火一次接一次的起 ?,yellow,1,21,3
椪椪娖x,08月17日 20:47,//weibo.com/5495579581/M1uvovhf9?refer_flag=1001030103_,#重庆迎来史上最热一天#涪陵山火了 ?,yellow,0,8,13
一个_MOAO,08月17日 20:04,//weibo.com/6715343117/M1ue1oXMx?refer_flag=1001030103_,#四川重庆霸榜凌晨全国高温前十#重庆市涪陵区大梁山发生山火，起火原因未知 2重庆 ?,yellow,0,2,6
