,微博用户名,发布时间,微博链接,微博内容,认证标志,转发数,评论数,点赞数,
3506,顺义刘雨昕,08月23日 19:01,//weibo.com/6231090387/M2onf8uak?refer_flag=1001030103_,#四川 停电#得，听我妈说刚饭煮到一半又停电停水了…连续多少天了天天都在高温停水停电…本来心情就不好，点开就看到开地图炮说风凉话的几个瓜批龟儿子那么闲去重庆扑山火去吧 ?,yellow,0,2,0,85
3507,西安微记录,08月23日 19:01,//weibo.com/2469063713/M2ond004M?refer_flag=1001030103_,【 “一口气吹灭巴南山火”！#队员用馒头为山火救援队长庆生#】8月22日，重庆市，救援队刚结束巴南山火扑救任务，173名队员用红糖馒头为队长庆生。视频中，队员们用打火机代替蜡烛，齐唱生日歌。据队员介绍，当队长许愿时，还开玩笑说他是一口气吹灭了巴南山火。@点时新闻 L点时新闻的微博视频 ???,None,0,0,0,146
3508,追着光的小家伙,08月23日 19:00,//weibo.com/7483111972/M2on1ts1v?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#每天刷到很多感人的事，重庆人民真的很团结，送吃的送喝的，还送各种解暑的药重庆雄起 ?,ip,0,0,16,59
3509,新华日报,08月23日 19:00,//weibo.com/3881380517/M2omW8g7f?refer_flag=1001030103_,【#重庆娃儿骑摩托车硬核运送救火物资#】8月22日，重庆因高温发生山火。由于当地地势陡峭，依靠人力很难将救援物资运上山，多名小伙骑摩托车赶来帮忙。参与物资运送的小伙子中，有不少是周边群众，也有专程赶来的专业车手。#救火物资难上山重庆娃儿骑着摩托来了#L新华社的微博视频 ?,blue,5,6,37,136
3510,瞪大眼睛向右看的牛奶,08月23日 19:00,//weibo.com/5948575829/M2omVg8bz?refer_flag=1001030103_,用老人的话讲 今年应该就是年成不好吧 往年的重庆40度过个十天半个月差不多了 今年硬生生扛了一个多月 快俩月 整出了高温历史记录 持续高温无雨引发山火 嘉陵江都嘉陵工了还限电 那天中午去乡村基吃饭 没灯 也没空调 店里黑糊糊的还汗流浃背 感觉乱糟糟的一团 不像真实会发生的事情 前天开始操场借给消防队救火用的直升机加油停靠 长这么大还是头一次见直升机 见直升机降落 如果不是这种事情 可能也不会这么近得亲眼见到吧 这种情况下疫情还“凑热闹” 重庆眼瞅着严重起来 害 今年真的太难了这几年的日子 也差不多疫情以来吧 感觉过的还不如小的时候太平 难道是小时候不懂事儿嘛 老有一种魔幻现实的感觉 发生一些梦里才会有的事情 什么时候会好起来呀 收起d,None,0,3,2,321
3511,Kirihue,08月23日 19:00,//weibo.com/3317454407/M2omSnc7E?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#帅！还是要注意安全哈 ?,None,0,0,2,29
3512,户外蜀黍,08月23日 19:00,//weibo.com/1910140175/M2omRrLXe?refer_flag=1001030103_,人民卫士#重庆山火##中国森林消防# 8月22日，@四川森林消防 赴重庆大足救援，顶40多度高温奋战。辛苦了，希望平安归来！ L户外蜀黍的微博视频 ?,yellow,1,1,2,76
3513,抽屉app,08月23日 19:00,//weibo.com/1821459487/M2omNjCRh?refer_flag=1001030103_,重庆巴南区山火，救火奋战了一夜的人民子弟兵。（@-四分三十三秒- ） ?,blue,1,1,3,36
3514,长江日报,08月23日 19:00,//weibo.com/1898268644/M2omLx95f?refer_flag=1001030103_,#长江观察#【 “一口气吹灭巴南山火”！#队员用馒头为山火救援队长庆生#】8月22日，重庆市，救援队刚结束巴南山火扑救任务，173名队员用红糖馒头为队长庆生。视频中，队员们用打火机代替蜡烛，齐唱生日歌。据队员介绍，当队长许愿时，还开玩笑说他是一口气吹灭了巴南山火。@点时新闻 L点时新闻的微博视频 ??? 收起d,blue,1,0,7,156
3515,新浪重庆,08月23日 19:00,//weibo.com/2208446650/M2omLtQ0x?refer_flag=1001030103_,【 骑摩托车奔赴山区救火 #重庆山火市民踊跃报名志愿服务#】近日，由于持续高温干旱，重庆市江津、巴南等区先后发生山林火灾。重庆市区两级迅速启动应急预案，组织力量扑救，并面向社会招募一定有救灾经验的志愿者。在多个招募点，不断有市民搬来物资。他们为了交通方便，骑着摩托车赶来报名并奔赴救灾一线。（来源：海客新闻）L海客新闻的微博视频 收起d,blue,4,2,53,168
3516,朱颜珠,08月23日 20:59,//weibo.com/6212639368/M2p9kyK1Y?refer_flag=1001030103_,#中国气象局调派人工增雨飞机抵达重庆#高炮、火箭已经就绪，就等云层了???拜托先降雨吧，可以不再让山火蔓延了吗？记得降温好像从月底开始，还有好些天 ?,yellow,1,1,2,75
3517,邢说,08月23日 20:59,//weibo.com/2260586131/M2p9id4M2?refer_flag=1001030103_,救援山火的青年力量，由于地形较陡，寻常车辆无法上坡运送物资，重庆小伙骑摩托车多次运送物资。 L邢说的微博视频 ?,gold,1,4,17,56
3518,JWDCM-LY,08月23日 20:59,//weibo.com/6072848394/M2p9fBLd2?refer_flag=1001030103_,因上海天气原因延误了这次回渝都挺累的，不想长大高温?疫情?山火  为重庆加油??? 2重庆·重庆江北国际机场 ?,None,0,0,0,56
3519,重庆地产视野,08月23日 20:59,//weibo.com/2802524202/M2p95xS0X?refer_flag=1001030103_,#中国气象局调派人工增雨飞机抵达重庆#早就应该来了，重庆气温太热了，到处都在引发山火，前线的工作人员，实在是太累了。 ?,yellow,0,4,1,60
3520,黑色樱桃的围脖,08月23日 20:58,//weibo.com/1774221520/M2p8Sf4ak?refer_flag=1001030103_,?疫情+高温+山火+限电+干旱+封控+44℃排队做核酸……重庆太难啦[难过]市民自愿者勇往直前一则则消息让人泪目[流泪]今夜12点全主城区域全员核酸，不知俺能不能保住绿码常绿？[捂脸][捂脸][捂脸]?,None,0,0,1,101
3521,徽州反邪教,08月23日 20:58,//weibo.com/5384801243/M2p8JBqUI?refer_flag=1001030103_,#重庆山火#【#重庆北碚山火仍在蔓延#】近期，重庆持续高温。8月21日晚，地处缙云山脉的北碚区歇马街道虎头村发生山火。截至目前，火势仍在蔓延。（人民日报记者刘新吾）  @人民日报 L人民日报的微博视频 ???,blue,0,0,0,104
3522,Michelef,08月23日 20:57,//weibo.com/1737260042/M2p8CBs1B?refer_flag=1001030103_,苦中作乐的重庆人民太可爱了！运物资都用“抢”！还生怕拉不到业务！感谢摩托大军！！（据现场志愿者说，现场还有一些看热闹、拍抖音视频的“假志愿者”，对这种行为请大家坚决抵制！！）#重庆山火##重庆高温##北碚山火##重庆北碚山火小伙自发骑摩托支援# ?,yellow,1,1,5,124
3523,张小丫1005,08月23日 20:57,//weibo.com/7435219000/M2p8taknn?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#重庆崽儿好样的 ?,yellow,0,0,0,26
3524,营口消防在身边,08月23日 20:56,//weibo.com/2096303875/M2p8bqr6L?refer_flag=1001030103_,【#他们是离山火最近的人#】8月22日，重庆，甘肃森林消防员顶着高温扑救完森林火灾后，大汗淋漓喝解暑药的样子让人心疼。辛苦了 L应急管理部的微博视频 ???,blue,1,2,2,78
3525,常德桃源,08月23日 20:56,//weibo.com/2109505105/M2p86jwXr?refer_flag=1001030103_,“这些娃儿立大功了”，这句话是来自重庆当地村民的口中。8月22日，重庆因持续的高温，发生山火。而由于当地的山势陡峭，人力根本很难将物资运上山，多名年轻的越野摩托车自愿者小伙就骑着摩托车负责最后500米的运送救援物资。运送的物资当中有急需的灭火器，水，还有补给，全是靠他们在前面冲。#重庆山火##重庆越野摩托车勇士# 2常德 收起d,yellow,2,1,45,165
3526,效小丁味软糖,08月23日 20:56,//weibo.com/7526277076/M2p80bIAo?refer_flag=1001030103_,#重庆山火#这个时候别他m惦记你的正能量了 ?,None,0,0,1,23
3527,生活儿君,08月23日 20:56,//weibo.com/6039725780/M2p7Ze3No?refer_flag=1001030103_,#重庆人民的心到底有多齐# 关键时刻，重庆人民的心到底有多齐！ 山火无情，人有情！致敬所有逆行者！#重庆人民的心到底有多么齐# L生活儿君的微博视频 ?,yellow,150,33,669,76
3528,唐三臧的大徒弟,08月23日 20:55,//weibo.com/3319764617/M2p7OmsEN?refer_flag=1001030103_,这个夏天太难但重庆这座城，让人爱的越发深沉因为有城里的这群人自发的志愿者重庆#重庆山火# ?,None,0,1,2,47
3529,西湖检察,08月23日 20:55,//weibo.com/2332437804/M2p7L7wpV?refer_flag=1001030103_,【#重庆娃儿骑摩托车硬核运送救火物资#】8月22日，重庆因高温发生山火。由于当地地势陡峭，依靠人力很难将救援物资运上山，多名小伙骑摩托车赶来帮忙。参与物资运送的小伙子中，有不少是周边群众，也有专程赶来的专业车手。#救火物资难上山重庆娃儿骑着摩托来了#（新华每日电讯）  L新华社的微博视频 收起d,blue,0,3,1,148
3530,王副司机,08月23日 20:55,//weibo.com/6904927823/M2p7KvSWt?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援##四川木里县森林大火# 21世纪了，希望救火救灾投入更多的机械化设备和智能化设备，不再是靠人民子弟兵肩抗手搬。向志愿者致敬，向消防员致敬！ ?,None,0,0,0,88
3531,TeamCR7,08月23日 20:55,//weibo.com/2532071351/M2p7IF2dK?refer_flag=1001030103_,#福建精子库质量堪忧#这个热搜有够无聊的，多关心关心南方的高温和重庆的山火吧 ?,yellow,0,0,13,40
3532,效小丁味软糖,08月23日 20:55,//weibo.com/7526277076/M2p7Cxctt?refer_flag=1001030103_,#四川 停电##重庆山火# ?,None,0,0,0,15
3533,拜德雅,08月23日 20:55,//weibo.com/5731240907/M2p7B4K55?refer_flag=1001030103_,大家好，今天下午五点，我们工作室四分之三润了！因为……重庆……高温+疫情，明天开始，全员居家办公（希望下周一能返工）。山火的山火，限电的限电，核酸的核酸，封控的封控，这一切都建立在40+度气温基础上。说正事：今天中午我们收到《流行音乐与资本主义（修订版）》大货，想到整个山城即将陷入核酸泥淖，不妙，赶忙就把微店预售的全部寄出了（近400单，单号陆续录入，不要担心），希望大家可以快快顺利收到。～～～～～～此书已于本周一入库，即将正式上架。三种继续购阅的方式：1.当当：O网页链接；2.淘宝搜天猫店铺名“上海社会科学院出版社”，进店后搜书名即可，或者复制这条口令到淘宝：【官方正版现货】流行音乐与资本主义（修订版） [日]毛利嘉孝 著 耳田 译 CZ3457；3.微信小程序搜店铺名“沪社科院出版社”，进店后搜书名即可。 收起d,blue,1,4,12,363
3534,鹿岛川,08月23日 20:55,//weibo.com/2316266844/M2p7ylJIj?refer_flag=1001030103_,远处还能看到山火的烟，轻轨站的灯关了一些后，反而有种凉快儿下来的感觉。希望快点降温降雨，让重庆渡过难关。 ?,ip,0,1,7,54
3535,中新社福建,08月23日 20:55,//weibo.com/2255139900/M2p7y5e2g?refer_flag=1001030103_,【#漫话中国##巴南山火市民凌晨接力搬捐赠物资#】8月22日，重庆许多市民参与到巴南界石火灾紧急扑救志愿活动中，参与捐献物资并自发转运。有市民表示，当时山上火太大，物资只能用摩托车分批次转运上去。现场有很多志愿者，大家都非常齐心。#挑战365天正能量速写画#第266期，每一天，我们都会手绘一幅正能量速写画，欢迎参与转发，一起传递正能量↓↓↓ 收起d,blue,0,0,2,175
3536,_一大个橙纸,08月23日 20:55,//weibo.com/2689157072/M2p7wDFtS?refer_flag=1001030103_,最近高温+山火+疫情 重庆真的太难了毕业一年我一直牵挂的我大重庆加油重庆人民加油 ?,yellow,0,0,0,42
3537,是顾如期,08月23日 20:54,//weibo.com/5579912623/M2p7nrV28?refer_flag=1001030103_,重庆山火真的没停过。黔江也着起来了。能不能下下雨啊。救 ?,None,0,7,4,29
3538,范爷____,08月23日 20:54,//weibo.com/1562697291/M2p7hxi89?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#这就是骑士精神#小伙回应和同伴骑摩托协助灭火# ?,yellow,0,0,1,42
3539,loveisrealyouandme,08月23日 20:54,//weibo.com/7551237524/M2p75pjfM?refer_flag=1001030103_,希望三天后能够降温。全员核酸在高温下，所有工作人员和等待做核酸的人真的太难了。山火肆虐，灭火救援人员很辛苦，志愿者通过摩托车把各种物质运上去，重庆地理环境决定了重庆人坚强的意志，大家都加油！ ?,None,0,0,2,97
3540,奇妙能力锅啊,08月23日 20:54,//weibo.com/5619615164/M2p74znx5?refer_flag=1001030103_,这个必须给重庆兄弟伙些点赞!#重庆北碚山火小伙自发骑摩托支援# ?,yellow,0,0,1,33
3541,日常吐槽根据地,08月23日 20:53,//weibo.com/6360286635/M2p710EP3?refer_flag=1001030103_,重庆好难，高温?山火?限电?疫情 ?,None,0,0,1,18
3542,糖醋排骨好烫,08月23日 20:53,//weibo.com/6621125331/M2p6Mgipi?refer_flag=1001030103_,重庆真的好难高温，山火，限电，疫情希望重庆加油我不想再延期开学了我要上学，不封校的开学 ?,None,0,0,0,45
3543,四川工会法律援助,08月23日 20:53,//weibo.com/1911366913/M2p6DolQJ?refer_flag=1001030103_,#重庆北碚山火仍在蔓延#【我们有最好的人民！#重庆市民自发搬运物资扑救山火#】“没有人安排，大家都是自发的。重庆人很齐心，我们要保护好自己的家园！”8月21日，重庆市巴南区发生山火。当天凌晨，许多市民报名当志愿者，凌晨捐献物资并转运。中国人民万众一心的凝聚力，总是在最关键的时刻撑起一片天！L人民视频的微博视频 收起d,blue,0,0,1,159
3544,暮珘,08月23日 20:52,//weibo.com/2083252622/M2p6Aly5b?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#第一次觉得这个声音很悦耳 2重庆·北碚区 L清河有花的微博视频 ?,ip,1,0,28,50
3545,現實手術刀,08月23日 20:52,//weibo.com/1727582645/M2p6A8kvK?refer_flag=1001030103_,重庆多地突发山火，致敬每一位逆火而行者！O网页链接 ?,None,0,0,0,27
3546,重庆城科传媒中心,08月23日 20:52,//weibo.com/2498703444/M2p6zf5V8?refer_flag=1001030103_,#他们是离山火最近的人##重庆城市科技学院# 武警官兵立即奔赴现场救火，他们在滚滚热浪中坚守保卫山林和百姓的安全。致敬每一位逆火而行者(via:@人民日报) ?,blue,0,1,2,80
3547,洪国荃,08月23日 20:52,//weibo.com/1376420267/M2p6q2g8B?refer_flag=1001030103_,首先声明，我是文科生，不懂得发电，但是这次四川、重庆大旱，包括长江流域水位下降，导致水力发电困难，用电短缺，又有山火，牵动人心。这说明，还是不能仅仅指望水电，遇到这种极端状况就会有问题。如果建火电厂，投资大，用时长，能不能与我们擅长的光伏发电相结合呢？如果大旱，阳光必然灿烂，有利于光伏发电，如果阴雨天多，水自不会缺，即使不能全部解决，也是很好的补充，大家觉得我的想法怎么样？ 收起d,yellow,7,29,91,192
3548,傅蔚冈,08月23日 20:52,//weibo.com/1764452651/M2p6nD3lu?refer_flag=1001030103_,在我看来，这些新闻有一个共同特点，都是“旅游视角”。人们把高温和干旱，看成是一种“景观”，而不是真正的自然灾害，于是才争论大佛的全身到底该怎么算，才去找文物专家聊石刻。重庆的山火，让人揪心，而成都连续的高温也让这里一向有“地理优越感”的人们感到痛苦，但是，“川渝地区”并不是这两大城市，还包括广袤的土地，还有很多县市和生活在那里的人们。O关掉滤镜，听一下高温下四川人的哭声 收起d,gold,227,61,708,190
3549,绣鱼边走边看,08月23日 20:52,//weibo.com/1655978740/M2p6mvvng?refer_flag=1001030103_,山火、高温、干旱、疫情……重庆有点难#处暑##重庆山火##重庆疫情# ?,None,1,0,1,36
3550,tastessweet,08月23日 20:52,//weibo.com/2788232557/M2p6il9ql?refer_flag=1001030103_,#他们是离山火最近的人#我记得澳大利亚之前大火，灭了好久都没有扑灭，好多考拉小宝贝都葬身火海了，希望重庆的火快快扑灭，重庆快快好起来? ?,None,0,0,1,69
3551,落日泡椒鸡杂,08月23日 20:52,//weibo.com/2853249230/M2p6f7ktN?refer_flag=1001030103_,最近的心态：随时随地安慰自己尽人事听天命。（重庆疫情、山火、高温、限电什么时候结束？） ?,ip,0,0,0,45
3552,厦门火车站,08月23日 20:51,//weibo.com/1155512370/M2p5Zpkej?refer_flag=1001030103_,#厦站微视角# 【我们有最好的人民！#重庆市民自发搬运物资扑救山火#】“没有人安排，大家都是自发的。重庆人很齐心，我们要保护好自己的家园！”8月21日，重庆市巴南区发生山火。当天凌晨，许多市民报名当志愿者，凌晨捐献物资并转运。中国人民万众一心的凝聚力，总是在最关键的时刻撑起一片天！@人民视频 L人民视频的微博视频 收起d,blue,3,0,7,161
3553,惠水检察,08月23日 20:51,//weibo.com/5113245555/M2p5Z7HIV?refer_flag=1001030103_,【 “一口气吹灭巴南山火”！#队员用馒头为山火救援队长庆生#】8月22日，重庆市，救援队刚结束巴南山火扑救任务，173名队员用红糖馒头为队长庆生。视频中，队员们用打火机代替蜡烛，齐唱生日歌。据队员介绍，当队长许愿时，还开玩笑说他是一口气吹灭了巴南山火。@点时新闻 L点时新闻的微博视频 ? ??? 收起d,blue,0,0,0,152
3554,燕山茶磨,08月23日 20:51,//weibo.com/1535029592/M2p5YzmEo?refer_flag=1001030103_,#重庆山火#希望所有参与救援的人都平平安安的 ?,None,0,0,1,24
3555,企鹅咸鱼想翻身,08月23日 20:50,//weibo.com/6485138941/M2p5P9jSu?refer_flag=1001030103_,#重庆山火#早早扑灭吧 ?,None,0,0,1,13
3556,Nov之末,08月23日 20:50,//weibo.com/1686859707/M2p5G0Sf1?refer_flag=1001030103_,#重庆山火##缙云山# 重庆北碚缙云山山火已经第三天了，火势依然没得到控制，救援人员用山地摩托车运送物资都赶不上火速，来点什么大飞机作业灭火吧。天啊，快降雨吧，守住我们重庆的青山绿水???视频来自我们跑团马队长第一现场传回，一位勇敢的救火志愿者，愿大家平安归来。 LNov之末的微博视频 收起d,ip,0,11,12,147
3557,阿波罗越野,08月23日 20:50,//weibo.com/7577252517/M2p5F28WC?refer_flag=1001030103_,你说什么是骑士精神！越野摩托和道路摩托相比，此刻的优势就展现出来了：不挑地形，身姿轻盈。#越野骑行##重庆北碚山火小伙自发骑摩托支援# L阿波罗越野的微博视频 ?,blue,0,25,15,81
3558,惠惠曰,08月23日 20:50,//weibo.com/7234139000/M2p5x7Reh?refer_flag=1001030103_,肖战重庆现在处于战斗状态，天灾啊，又是高温干旱，又是疫情，还有接连不断的山火，明天全民黄码，全部核酸。 ?,None,0,2,5,54
3559,几木崽_,08月23日 20:50,//weibo.com/6001893856/M2p5te0h9?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#他们真的很帅 ?,None,0,0,2,25
3560,郑州日报,08月23日 20:50,//weibo.com/2716593467/M2p5pF2u4?refer_flag=1001030103_,【重庆娃儿骑摩托车硬核运送救火物资】8月22日，重庆因高温发生山火。由于当地地势陡峭，依靠人力很难将救援物资运上山，多名小伙骑摩托车赶来帮忙。参与物资运送的小伙子中，有不少是周边群众，也有专程赶来的专业车手。L新华社的微博视频 ?,blue,0,0,0,115
3561,有猫有个锤子,08月23日 20:49,//weibo.com/5678347518/M2p5p5QNr?refer_flag=1001030103_,#重庆山火#  这火怎么还在烧都烧到我小姨家这边都看得见明晃晃的火了 L有猫有个锤子的微博视频 ?,None,0,1,0,49
3562,共青团张家界,08月23日 20:49,//weibo.com/2377476730/M2p5nlygZ?refer_flag=1001030103_,【这才是真正的骑士！#重庆山火摩友背背篓送灭火物资#】8月22日，重庆。重庆巴南区突发山火。据罗先生介绍，上山的路很窄，坡度比较陡，其他车辆无法将救援物资运送上去，重庆的摩友们自发组织了摩托车运输队。志愿者们只要能骑摩托车、技术好的都能去，这些“重庆崽儿”们骑着摩托车背着大背篓，一趟又一趟往山上运送柴油、矿泉水、灭火器等物资。这就是骑士！#重庆娃儿骑摩托车硬核运送救火物资##重庆北碚山火小伙自发骑摩托支援#@白鹿视频 L白鹿视频的微博视频 收起d,blue,0,0,7,225
3563,小伊安,08月23日 20:49,//weibo.com/1849781181/M2p5lBgLQ?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#要哭了，志愿者全部不让去了太危险了，真的是最后的防线了啊? L小伊安的微博视频 ?,ip,0,1,1,58
3564,如意的咖啡笨蛋,08月23日 20:49,//weibo.com/5162037251/M2p5lvLX8?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#都要平安 ?,ip,0,1,0,23
3565,寄夏于风,08月23日 20:49,//weibo.com/6018362016/M2p5izyo1?refer_flag=1001030103_,#重庆市民自发搬运物资扑救山火#重庆人民可是经历过抗战大轰炸的，了不起！ ?,None,0,0,0,38
3566,去年我也爱吃土豆,08月23日 20:49,//weibo.com/5470633261/M2p56tOl0?refer_flag=1001030103_,重庆快点好起来吧??疫情山火高温干旱退退退 ?,None,0,0,4,23
3567,一一三声,08月23日 20:49,//weibo.com/5634618069/M2p55hRUt?refer_flag=1001030103_,成功把抖音刷成重庆山火救援集合重庆人民加油 ?,None,0,0,1,23
3568,电线杆上一排鸟1990,08月23日 20:49,//weibo.com/7682028735/M2p527mtJ?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#重庆加油，我们挺过去就好了 ?,None,0,0,0,32
3569,桃色依葵i,08月23日 20:49,//weibo.com/6390098316/M2p51e7dH?refer_flag=1001030103_,#重庆北碚山火仍在蔓延#快点下雨吧 ?,yellow,0,0,6,19
3570,大大滴略略怪,08月23日 20:48,//weibo.com/7729915353/M2p4X1yvG?refer_flag=1001030103_,#重庆#愿重庆山火不再 高温快走 疫情滚出全球??? ?,None,0,2,1,28
3571,王小息啊,08月23日 20:48,//weibo.com/3518613612/M2p4PAYnm?refer_flag=1001030103_,#重庆山火# 希望赶快浇灭吧，在大自然面前，人真的太渺小了 ?,None,0,0,1,31
3572,医学知识总览,08月23日 20:47,//weibo.com/6063043193/M2p4ABaDX?refer_flag=1001030103_,#参与3次山火救援的大学生找到了##救援山火的重庆娃儿有多飒#18岁的余秋朋是一名大二的学生，他在涪陵和南川两地参与了三场救火。他说，“我是一名大学生，我正当青春，有梦、有热泪、有远方，也有成长。比起安稳的青春，我更想拥有闪光的青春。我只是做了大学生志愿者最基本的事。” L医学知识总览的微博视频 收起d,yellow,54,26,3912,152
3573,兴风作浪的姑奶奶,08月23日 20:47,//weibo.com/5685793237/M2p4zn2CR?refer_flag=1001030103_,#重庆山火# 那么热的天，辛苦他们了 L兴风作浪的姑奶奶的微博视频 ?,None,0,0,0,35
3574,_花房再无花,08月23日 20:47,//weibo.com/5825883894/M2p4vyHnY?refer_flag=1001030103_,#四川部分区域今日将有大雨#能不能给重庆也下一点疫情我都觉得不可怕了，这些山火要费好多人去灭，到处都在起火，这些救援灭火的跑了这里去那里，太辛苦了 ?,None,0,0,0,75
3575,泪点低的121,08月23日 20:47,//weibo.com/6550425057/M2p4uEmAM?refer_flag=1001030103_,#中国气象局调派人工增雨飞机抵达重庆##四川 停电#希望老天尽快在川渝地空下场大雨吧，最近看的山火干旱太难受了，心疼 ???,None,0,0,0,62
3576,迹部藤真夫人,08月23日 20:47,//weibo.com/1796240311/M2p4umLNI?refer_flag=1001030103_,疫情，高温，山火，立刻在我的重庆消失！！！ ?,None,0,0,0,23
3577,林妹妹集大成者,08月23日 20:47,//weibo.com/7622026285/M2p4u6f8l?refer_flag=1001030103_,山火，疫情，限电，愿我重庆平安 ?,None,0,0,1,17
3578,名字可以用了吗,08月23日 20:47,//weibo.com/2754077257/M2p4sy5RJ?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#所以重庆不能禁摩托车 ?,yellow,0,0,2,29
3579,惠水检察,08月23日 20:47,//weibo.com/5113245555/M2p4iANwH?refer_flag=1001030103_,【#重庆娃儿骑摩托车硬核运送救火物资#】8月22日，重庆因高温发生山火。由于当地地势陡峭，依靠人力很难将救援物资运上山，多名小伙骑摩托车赶来帮忙。参与物资运送的小伙子中，有不少是周边群众，也有专程赶来的专业车手。#救火物资难上山重庆娃儿骑着摩托来了#（新华每日电讯）  L新华社的微博视频 收起d,blue,0,0,0,148
3580,XinYu雨0317,08月23日 20:46,//weibo.com/5235246334/M2p49q8Tj?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#这些大爱真的 太感人了 山火无情 人有情 以前真的很讨厌这种轰轰轰炸街的声音 现在真的爱了爱了 太帅了大家 ?,yellow,0,0,8,72
3581,715libtey,08月23日 20:45,//weibo.com/7154854420/M2p3Kkicp?refer_flag=1001030103_,vol：8月重庆 高温 限电 疫情 山火 ?,None,0,0,0,22
3582,森林小屋七七,08月23日 20:45,//weibo.com/7657101274/M2p3Iskh4?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#今年夏天的重庆很多难，但是我们重庆崽儿真的很让人感动，好样的！ ?,None,0,0,1,50
3583,谷中悠然,08月23日 20:45,//weibo.com/2170894243/M2p3DudDL?refer_flag=1001030103_,#重庆山火越野摩托车手运送物资# 一群越野摩托车手志愿上山为消防员运送物质，满满的正能量。网友：为骑手正名了 L谷中悠然的微博视频 ?,yellow,1,1,3,67
3584,不羁小虎,08月23日 20:45,//weibo.com/2953963494/M2p3xytrx?refer_flag=1001030103_,干旱高温，山火，限电，疫情封控。41℃的处暑，重庆快降温快下雨? ?,ip,0,0,0,34
3585,正观视频,08月23日 20:45,//weibo.com/7299136456/M2p3uyXOC?refer_flag=1001030103_,【#173名救援队员用馒头给队长庆生#：“一口气吹灭巴南山火”】8月22日，重庆，刚刚结束巴南山火扑救任务，173名队员围在一起，用红糖馒头为合川队的队长小羊庆生。蓝天救援队队员谈先生表示，当时条件有限没有蜡烛，大家就拿打火机当蜡烛，让他许愿时，还开玩笑说他是一口气吹灭了巴南山火。后来大家围在一起给唱生日快乐歌，他就有点害羞，眼睛也有点红。谈先生说，大家常年奔跑在一线，经常遇见这种情况，生日时都会彼此道贺庆祝。@沸点壹刻 L沸点壹刻的微博视频 收起d,blue,0,0,6,227
3586,YiBo-三木-1823,08月23日 20:45,//weibo.com/6325559793/M2p3p0zNI?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#感谢每个消防员 感谢每个志愿者  感谢每个工作人员 感谢每个平民英雄  一定要注意安全 每个人每个人都要平安? ?,None,0,0,8,74
3587,那就随便打个昵称好了,08月23日 20:44,//weibo.com/5707900989/M2p3mFMdP?refer_flag=1001030103_,昨夜奋斗的记录希望巴南以及其他地区的山火都快些灭了今年真算是重庆的极端天气了吧感谢#华岩救援永川支队#给我机会让我可以贡献自己的一份力量当然要去做有意义且让自己感到快乐的事情啦！ L那就随便打个昵称好了的微博视频 ?,None,0,0,2,108
3588,-谷妜-,08月23日 20:44,//weibo.com/6062028916/M2p3j9fqc?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#一定要注意安全啊，头盔还是要戴好，真是辛苦了。 ?,ip,0,0,3,42
3589,半半僧166,08月23日 20:44,//weibo.com/6433454866/M2p3grk7m?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#太牛逼了。给重庆人点赞加油。有自发给消防员做饭菜的送物资的，有摩托大军转运进山，最后一段因为坡太逗只能由越野摩托车手一趟一趟少量送到最前线。希望山火早日扑灭，希望消防队员和老百姓都能平安?? ?,None,0,0,11,114
3590,小西瓜的呱-,08月23日 20:44,//weibo.com/5764565930/M2p39FFL6?refer_flag=1001030103_,泪点好低，看到重庆山火，群众越野摩托车运送物资都看哭了 ?,ip,0,2,0,29
3591,紫风铃8899,08月23日 20:44,//weibo.com/7569229140/M2p37iTND?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援# 越野摩托正能量的打开方式，重庆 ?,ip,0,0,3,35
3592,小丫头222,08月23日 20:44,//weibo.com/2748643285/M2p34mFGc?refer_flag=1001030103_,#重庆北碚山火小伙自发骑摩托支援#平平安安 ?,None,0,0,1,23
3593,嘴碎捣蛋子,08月23日 20:43,//weibo.com/6427084221/M2p2T4F9z?refer_flag=1001030103_,近期的重庆高温 多山火 嘉陵江也干了 疫情又复发了 还要限电...讲实话每次看到这些消息总是想哭 长这么大确实是第一次经历这种夏天像在经历世界mo日一样好难啊 ?,None,0,0,0,81
